date_saisie,platfo,url,nro_id,ed,etab_aut_aff,tit,exist_trail,charge_trav_MOY,exist_syll,nbr_sem,sem_zero,expli_objectif,expli_objectif_txt,publ_expli_pres,cat_publ_pres,ENG,prereq_expli,publ_expli_pres_txt,etud,pro,gp,prereq_expli_txt,prereq_expli_techn,prereq_expli_connais,expli_zero_prereq,detail_nfp,prereq_expli_RF,prereq_expli_RNF,prereq_expli_RC,nbr_etab_contr,taille_equipe,nbr_PERSCLEF,nbr_MC,nbr_PU,nbr_chercheur,nbr_POST,nbr_ETUD,nbr_expert_extérieur,nbr_lien_rés,exist_eval,eval_txt,exist_attest,attest_formel,parcours,cond_util
28/01/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/uved/34004/session01/about,34004,1,UVED,Énergies renouvelables,OUI,"2,5",OUI,8,NON,NON,"Amener les apprenants à mieux comprendre les grands enjeux du 21ème siècle en matière de transition énergétique ainsi que les moyens d'exploiter les différentes sources d'énergies renouvelables (soleil, vent, eau, chaleur du sol, biomasse), tel est l'objectif du MOOC ""Énergies renouvelables"".",OUI,NDP,NON,OUI,"Il s'agit d'un MOOC introductif qui ne nécessite pas de prérequis particulier.

Il présente un intérêt pour l'ensemble des acteurs économiques, institutionnels ou citoyens qui, à une échelle individuelle, collective, ou territoriale, s'interrogent sur le développement de systèmes de production de ce type d'énergies.",NON,OUI,OUI,"Il s'agit d'un MOOC introductif qui ne nécessite pas de prérequis particulier.  (...)    PRÉREQUIS
Ce cours en ligne est introductif et ne nécessite pas de prérequis particulier. Pendant le cours, vous aurez la possibilité d’approfondir les sujets abordés à travers les vidéos et grâce aux recommandations faites par les experts scientifiques (articles, sites web, livres, etc.). Ainsi, vous aurez la possibilité de progresser quel que soit votre niveau de connaissance en début de cours.",NON,NON,OUI,GP,NON,NON,NON,15,32,10,2,4,2,0,0,2,0,OUI,"CHARGE DE TRAVAIL
Un travail hebdomadaire compris entre 2h et 3h vous permettra d’acquérir les principales notions abordées et illustrées par les experts scientifiques. Tout au long des 8 semaines de cours, un ensemble de cours, sous forme de vidéos, vous sera proposé, ainsi que des activités réalisables en ligne comme des quiz, des questions-débats ou encore des devoirs évalués par les pairs. Un forum vous permettra d'échanger avec la communauté d'apprenants et des ressources pédagogiques d’approfondissement seront mises à votre disposition.

 Une « Attestation de suivi avec succès », délivrée conjointement par France Université Numérique et l'UVED, pourra vous être attribuée en fonction de votre assiduité et des résultats obtenus aux exercices proposés.
 Effort estimé: Entre 2h et 3h de travail par semaine
",OUI,NON,NON,CC-BY-NC-ND
28/01/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/uved/34005/session01/about,34005,1,UVED,Environnement et développement durable,OUI,"2,5",OUI,8,NON,OUI,"Les objectifs du MOOC "" Environnement et Développement durable "", réalisé et coordonné par l'Université Virtuelle Environnement et Développement durable (UVED), sont triples :

interroger nos représentations de l'environnement et du développement durable, si on veut imaginer une société du vivre-ensemble (ce n'est pas une utopie, c'est un défi à relever!), il convient de proposer un projet qui rassemble plutôt qu'il ne divise;
initier une meilleure compréhension de nos actions collectives, de nos engagements; être éco-citoyen implique à la fois des droits et des obligations;
modifier nos comportements via l'éducation au développement durable, c'est à ce prix que nous parviendrons à adopter une attitude éco-responsable.",OUI,NDP,NON,OUI,"Il s'agit d'un MOOC à la fois introductif et ouvrant sur quelques approfondissements scientifiques et pédagogiques. Aucun prérequis n'est nécessaire, une bonne dose de curiosité suffit.

Ce MOOC présente un intérêt pour l'ensemble des citoyens et en particulier :

les lycéens de niveau baccalauréat
les étudiants de niveau Licence
les enseignants
les décideurs politiques
et toute personne sensibilisée aux enjeux du développement durable et par la sauvegarde de notre planète.",OUI,OUI,OUI,"PRÉREQUIS
Ce cours en ligne est introductif et ne nécessite pas de prérequis particulier.

Pendant le cours, vous aurez la possibilité d’approfondir les sujets abordés à travers les vidéos et grâce aux recommandations faites par les experts scientifiques (conseils de lecture: articles, sites web, livres, etc.). Ainsi, vous aurez la possibilité de progresser quel que soit votre niveau de connaissance en début de cours.",NON,NON,OUI,GP,NON,NON,NON,30,40,7,4,1,0,2,0,0,0,OUI,"CHARGE DE TRAVAIL
Un travail hebdomadaire compris entre 2h et 3h vous permettra d’acquérir les principales notions abordées et illustrées par les experts scientifiques. Tout au long des 8 semaines de cours, un ensemble de cours, sous forme de vidéos, vous sera proposé, ainsi que des activités réalisables en ligne comme des quiz, des questions-débats ou encore des devoirs évalués par les pairs. Un forum vous permettra d'échanger avec la communauté d'apprenants et des ressources pédagogiques d’approfondissement seront mises à votre disposition.

 Une « Attestation de suivi avec succès », délivrée conjointement par France Université Numérique et l'UVED, pourra vous être attribuée en fonction de votre assiduité et des résultats obtenus aux exercices proposés.
 Effort estimé: Entre 2h et 3h de travail par semaine
",OUI,NON,NON,CC-BY-NC-ND
29/01/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/uved/34003/session01/about,34003,1,UVED,Causes et enjeux du changement climatique,OUI,"2,5",OUI,6,NON,OUI,"Le MOOC «Causes et enjeux du changement climatique», produit et coordonné par l'Université Virtuelle Environnement et Développement durable (UVED), vise à tracer un tableau général du problème du changement climatique, en donnant aux apprenants des éléments suffisants pour être capables d’opposer une réflexion personnelle aux polémiques multiples qui ont entouré ce problème.",OUI,NDP,OUI,OUI,"Il s’agit d’un MOOC introductif nécessitant peu de prérequis.

Compte tenu de l’ampleur de la problématique «climat» pour l’ensemble des acteurs de la société (citoyens, enseignants, chercheurs, agents et élus des collectivités territoriales et/ou de l’État, dirigeants ou salariés de secteurs d'activités impactés à court et moyen terme pas les changements climatiques: environnement, agriculture, santé, bâtiment, économie, etc.), ce cours est susceptible d’avoir une large audience.

Ce MOOC francophone pourra être suivi par des anglophones car toutes les vidéos diffusées seront traduites en anglais.

To english speaking students : we will pleased to offer you all the videos of this MOOC on climate change in english!

Pour en assurer l’accessibilité la plus large, chacune des vidéos proposera également aux apprenants une transcription textuelle.",NON,OUI,OUI,"Il s’agit d’un MOOC introductif nécessitant peu de prérequis. (...)  PRÉREQUIS
Ce cours en ligne est introductif et ne nécessite pas de prérequis particulier.

Pendant le cours, vous aurez la possibilité d’approfondir les sujets abordés à travers les vidéos et grâce aux recommandations faites par les experts scientifiques (conseils de lecture: articles, sites web, livres, etc.). Ainsi, vous aurez la possibilité de progresser quel que soit votre niveau de connaissance en début de cours.",NON,NON,OUI,GP,NON,NON,NON,17,36,8,0,3,5,0,0,0,0,OUI,"Un travail hebdomadaire compris entre 2h et 3h vous permettra d’acquérir les principales notions abordées et illustrées par les experts scientifiques. Tout au long des 6 semaines de cours, un ensemble de cours, sous forme de vidéos, vous sera proposé, ainsi que des activités réalisables en ligne comme des quiz, des questions-débats ou encore des devoirs évalués par les pairs. Un forum vous permettra d'échanger avec la communauté d'apprenants et des ressources pédagogiques d’approfondissement seront mises à votre disposition.

 Une « Attestation de suivi avec succès », délivrée conjointement par France Université Numérique et l'UVED, pourra vous être attribuée en fonction de votre assiduité et des résultats obtenus aux exercices proposés.
 Effort estimé: Entre 2h et 3h de travail par semaine",OUI,NON,NON,CC-BY-NC-ND
28/02/2016,FUN,https://www.fun-mooc.fr/courses/ENSDeLyon/14001/Trimestre_4_2014/about,14001,1,ENSDeLyon,L'Union Européenne au défi de l'intégration économique,OUI,"4,5",OUI,8,OUI,OUI,"Objectifs

Appréhender l'Union Européenne pour mieux comprendre les débats aujourd’hui
Cerner les raisonnements économiques
Maîtriser les outils pour collecter et traiter l’information",OUI,NDP,NON,NON,"Publics

Ce cours est pensé pour être accessible à toutes et à tous, avec la volonté de vous apporter des connaissances et des compétences d'analyse que vous pourrez utiliser et ré-utiliser dans une grande diversité de situations. 
Ce cours est organisé afin de permettre plusieurs niveaux d'apprentissage : les éléments fondamentaux sont enrichis de nombreuses pistes pour approfondir la réflexion.
Ce cours est donc pensé pour un large public : lycéens, étudiants en formation initiale et en préparation de concours, grand public curieux des questions européennes.",OUI,NON,OUI,"Publics

Ce cours est pensé pour être accessible à toutes et à tous, avec la volonté de vous apporter des connaissances et des compétences d'analyse que vous pourrez utiliser et ré-utiliser dans une grande diversité de situations. 
Ce cours est organisé afin de permettre plusieurs niveaux d'apprentissage : les éléments fondamentaux sont enrichis de nombreuses pistes pour approfondir la réflexion.
Ce cours est donc pensé pour un large public : lycéens, étudiants en formation initiale et en préparation de concours, grand public curieux des questions européennes.",NON,NON,OUI,GP,NON,NON,NON,2,3,3,0,1,0,2,0,0,1,OUI,"Chaque semaine est constituée d'un corpus varié de documents : vidéos extraites de conférences données par des spécialistes des questions européennes, billets de blogs, extraits de livres et manuels. Les acquis sont confirmés par des quizz d'entraînement qui ont la vocation de faire une synthèse des différents arguments présentés par les supports de cours. 
À tout moment, vous aurez la possibilité de communiquer avec les autres participants par le biais des forums mis à disposition. L'équipe enseignante interviendra sur une sélection des questions les plus fréquentes.

Une « attestation de suivi avec succès » pourra vous être attribuée en fonction de votre assiduité et des résultats obtenus aux exercices proposés.",OUI,NON,NON,LICENCE RESTRICTIVE
27/02/2016,FUN,https://www.fun-mooc.fr/courses/univnantes/31002/Trimestre_4_2014/about,31002,1,univnantes,@ddict ? Un MOOC collaboratif sur nos usages du numérique.,OUI,"1,5",OUI,6,NON,OUI,"Notre objectif est de construire un dialogue entre participants du MOOC et chercheurs, portant sur nos usages et pratiques du numérique, que ceux-ci soient ludiques, excessifs, passionnants, à risque, distrayants, addictifs, etc. Un tel champ de questionnement se situant à la croisée de plusieurs disciplines scientifiques, ce MOOC collaboratif associe des représentants de l’informatique, de la psychologie, de la sociologie, de la santé, etc.",OUI,NDP,NON,OUI,"À QUI S'ADRESSE CE COURS ?
Ce cours s’adresse à toute personne désireuse de réfléchir et d’échanger sur le développement du numérique dans notre société. Ce MOOC collaboratif est un espace virtuel permettant de présenter des points de vue, de confronter des idées ou de témoigner de ses expériences. Il vise à connecter des passionnés, étudiants, experts, professionnels ou usagers, quels qu’ils soient, dans une pédagogie ouverte visant une construction partagée du savoir par les participants.",OUI,OUI,OUI,"PRÉ-REQUIS
Il n’y a aucun pré-requis pour suivre ce MOOC.

",NON,NON,OUI,GP,NON,NON,NON,4,11,11,1,3,0,4,0,3,1,NON,"ÉVALUATION
Ce MOOC collaboratif ne comporte pas d’évaluation.",NON,NON,NON,CC-BY-NC
03/03/2016,FUN,https://www.fun-mooc.fr/courses/animafac-cnous/45001S02/session02/about,45001S02,2,Animafac-cnous,Créer et développer son association étudiante,,2,OUI,3,NON,NON,NA,OUI,NDP,NON,OUI,"À QUI S’ADRESSE CE COURS ?
Ce cours s’adresse à tous les étudiants et toutes les étudiantes qui ont créé ou souhaitent créer une association.

Cependant, bien qu’il apporte du contenu sur les spécificités de l’environnement étudiant, la grande majorité des thématiques abordées est susceptible d’intéresser toutes les personnes porteuses de projets associatifs, qu’elles bénéficient ou non du statut d’étudiant.

Ainsi, si vous avez une idée et ne savez pas comment la mettre en œuvre, si vous avez créé une association mais ne savez pas comment la développer ou si vous souhaitez simplement vous perfectionner sur l’une ou l’autre des thématiques proposées, ce cours devrait vous intéresser.",OUI,OUI,NON,"PRÉ-REQUIS
Ce MOOC ne nécessite pas de pré-requis.
Nous proposerons un parcours pour les débutants et un parcours pour les personnes expérimentées.",NON,NON,OUI,GP,NON,NON,NON,5,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,2,OUI,Seules des attestations de participation / réussite pourront être délivrées à l’issue des 4 semaines. Nous ne délivrons pas de certification.,OUI,NON,OUI,CC-BY-NC-SA
03/02/2016,FUN,https://www.france-universite-numerique-mooc.fr/courses/CentraleParis/02001S02/Trimestre_1_2015/about,02001S02,2,Ecole CentraleSupelec,Développement Durable,OUI,3,OUI,7,NON,OUI,"À PROPOS DU COURS


L’ambition du cours est de confronter ses participants aux enjeux techniques, économiques, sociaux et environnementaux du XXIe siècle.

Ces enjeux sont par nature très fortement couplés et complexes. Ils exigent une approche interdisciplinaire, afin d’adopter un vrai questionnement, au delà des préjugés et idées reçues.

C’est pourquoi des spécialistes reconnus dans les domaines de l’économie, de la démographie, de l’énergie, du climat, de l’eau et de l’agriculture, et issus des meilleurs institutions et centres de recherche français (ECP, INED, Cnam, CEA, AgroParisTech), interviendront avec la volonté de confronter leurs points de vue et de débattre avec vous.

La démarche générale du cours consistera à examiner les enjeux du développement durable au regard d’études scientifiques rigoureuses et récentes, pour :

donner et discuter des chiffres clés (de l’état des lieux aux futurs possibles);
comprendre la construction de ces chiffres (hypothèses et limites des modèles scientifiques sur lesquels ils reposent);
et aborder l’ensemble des enjeux dans leurs différentes dimensions… de l’échelle locale à l’échelle mondiale",NON,NDP,NON,NON,"L’ambition du cours est de confronter ses participants aux enjeux techniques, économiques, sociaux et environnementaux du XXIe siècle.",NON,NON,NON,NA,NA,NA,NA,NA,NA,NA,NA,5,7,1,1,0,0,0,0,0,2,OUI,VOIR GRAPHIQUE,OUI,NON,NON,CC-BY-NC-ND
03/03/2016,FUN,https://www.fun-mooc.fr/courses/enac/81001/session01/about,81001,1,enac,Quel avion pour quelle mission ?,OUI,3,OUI,6,NON,NON,"Mais au-delà de ce questionnement initial, ce cours se propose de vous aider à appréhender le secteur du transport aérien dans toute sa richesse et sa complexité. Nous verrons ainsi que, s’il en est la face la plus visible, l’avion en tant que tel n’est qu’un élément, certes central, mais reste un élément seulement d’un vaste écosystème industriel et économique constitué de nombreux acteurs : avionneurs, aéroports et compagnies aériennes pour les plus visibles, mais également services de navigation aérienne, ou encore autorités de régulation…",OUI,NDP,NON,OUI,"A qui s’adresse ce cours ?
Professionnels du secteur du transport aérien désirant acquérir une vision systémique transverse du domaine, étudiants intéressés par le domaine, passagers réguliers ou occasionnels, passionnés d’aviation ou simples curieux, ce MOOC s’adresse à tous.

Il ne nécessite aucun prérequis, même si quelques connaissances basiques en anglais pourront vous faciliter la vie pour manipuler OpenVSP. La réalisation des activités sous OpenVSP n’est cependant pas déterminante pour l’évaluation.",OUI,OUI,OUI,"Il ne nécessite aucun prérequis, même si quelques connaissances basiques en anglais pourront vous faciliter la vie pour manipuler OpenVSP. La réalisation des activités sous OpenVSP n’est cependant pas déterminante pour l’évaluation.",NON,NON,OUI,GP,NON,NON,NON,1,2,2,0,0,0,0,0,2,2,OUI,"Vous serez régulièrement évalué(e) tout au long de ce cours, et en fonction de votre implication et de vos résultats, une attestation de suivi avec succès pourra vous être délivrée, pour le parcours Basique et/ou pour le parcours Avancé.",OUI,NON,OUI,CC-BY-NC-SA
03/03/2016,FUN,https://www.fun-mooc.fr/courses/FUN/00101/Trimestre_3_2014/about,00101,1,FUN,Bienvenue sur FUN,OUI,"0,5",OUI,1,NON,OUI,"L’objectif du présent MOOC est de vous faire découvrir le fonctionnement de la plateforme, afin que vous ayez pris en main l’outil avant de débuter le premier cours auquel vous êtes inscrit.

Ce MOOC a également pour objectif de permettre à l’équipe en charge de la plateforme, de mieux vous connaître et comprendre vos motivations, pour vous proposer des nouveaux cours et services correspondant à vos attentes. Pour cela nous organisons une enquête annuelle que vous trouverez dans ce cours.",OUI,NDP,NON,OUI,"Pré-requis
Vous devez simplement avoir réalisé l'inscription sur la plateforme FUN. Attention au choix de votre ""Nom d'utilisateur FUN"" lorsque vous vous inscrivez à la plateforme, car ce sera le nom visible de tous sur les forums de discussion et wiki de chaque cours où vous contribuez.",NON,NON,NON,"Pré-requis
Vous devez simplement avoir réalisé l'inscription sur la plateforme FUN. Attention au choix de votre ""Nom d'utilisateur FUN"" lorsque vous vous inscrivez à la plateforme, car ce sera le nom visible de tous sur les forums de discussion et wiki de chaque cours où vous contribuez.",OUI,NON,OUI,GP,NON,NON,NON,1,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,COLLECTIF,2,NON,"Ce MOOC est un outil d'aide à la navigation, qui ne donnera donc pas lieu à des évaluations ni à une attestation de suivi avec succès.",NON,NON,NON,LICENCE RESTRICTIVE
03/03/2016,FUN,https://www.fun-mooc.fr/courses/gobelins/83001S02/session02/about,83001S02,2,gobelins,Réaliser des vidéos pro avec son smartphone,OUI,6,OUI,5,NON,OUI,"OBJECTIFS PÉDAGOGIQUES
Au cours des cinq semaines du cours, vous allez successivement :

Acquérir les bases du cadrage, de la lumière et de la prise de son.
Apprendre à scénariser une histoire : découpage en plans.
Maîtriser votre smartphone et choisir les accessoires indispensables.
Monter rapidement vos images avec un outil en ligne.
Acquérir les bonnes pratiques et méthodes (boite à outils) grâce à des mises en situations diverses et ludiques.",OUI,NDP,NON,NON,"A QUI S’ADRESSE CE COURS ?
Possesseurs de smartphones, curieux, passionnés, ayant envie de créer, de partager et raconter en images, que ce soit à des fins professionnelles ou personnelles.
Quel que soit votre métier, vous êtes sur le terrain et vous voulez communiquer : journalistes, vidéastes, enseignants, chercheurs, artistes, bloggeurs, sportifs, créatifs, community managers, responsables de communication, etc.",NON,OUI,OUI,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,0,0,0,0,2,2,OUI,"EVALUATION
- QCM :  à chaque étape du cours portant sur les connaissances acquises (méthodologie, techniques...)

- Réalisations vidéo : réalisation de travaux pratiques sur un mode individuel, mise en ligne du scénario, du story-board, des croquis ou photos de tournage, et de la vidéo réalisée, évaluation des travaux par les pairs. Toutes les réalisations vidéo effectuées dans ce Mooc seront évaluées par l’ensemble des participants. Pour chaque projet les 30 meilleures productions seront sélectionnées pour concourir au Prix GOBELINS.

ATTESTATION ET PRIX DU JURY
Les participants ayant complété les QCM et ayant réalisé et rendu les trois projets vidéos pourront obtenir une attestation de suivi du MOOC “Réaliser des vidéos pro avec un smartphone”.

Pour chaque rendu de projet vidéo, un Prix du Jury sera attribué par Gobelins parmi les 30 meilleurs dossiers évalués par les pairs. Ces trois lauréats recevront un certificat de GOBELINS, l’école de l’image, avec mention de leur Prix du Jury.

Un Grand Prix du Jury pour l’ensemble des trois projets sera aussi attribué et donnera au lauréat la possibilité de suivre gratuitement un stage de formation continue de 3 jours à GOBELINS.",OUI,NON,NON,CC-BY-NC-ND
28/02/2016,FUN,https://www.fun-mooc.fr/courses/lorraine/30001/session01/about,30001,1,lorraine,De l'atome à l'humain : à la racine des mots scientifiques,OUI,4,OUI,4,NON,NON,NA,NON,NDP,NON,OUI,NA,NON,NON,NON,"Prérequis
Il n’y a aucun prérequis obligatoire pour suivre ce MOOC. Cependant, pour les lycéens, les contenus seront plus facilement accessibles à partir de la classe de terminale scientifique.",NON,NON,OUI,LYC,OUI,NON,NON,2,2,2,0,2,0,0,0,0,2,OUI,"Évaluation
Une évaluation est prévue à la fin de chaque semaine sous la forme d’un quizz. Un résultat de 60% permet l’obtention d’un certificat.

Seules les évaluations de fin de semaine comptent pour la notation. D'autres activités seront également présentes tout au long du MOOC, mais aucune d'elle ne comptera dans le score final. Il s'agit d'activités de découverte ou d'entraînement qui lorsqu'elles délivrent un score, le font à titre indicatif uniquement.",OUI,NON,NON,CC-BY-NC-SA
28/02/2016,FUN,https://www.fun-mooc.fr/courses/lorraine/30002/session01/about,30002,1,lorraine,Sur les pas des combattants de Verdun : 1916 - 2016,OUI,4,OUI,4,NON,NON,"À propos du cours
Vous vous voulez en savoir plus sur l’Enfer de Verdun : Quel était l’objectif poursuivi par l’état-major allemand lorsqu’il décide de passer à l'offensive ? Pourquoi un tel acharnement dans la lutte ? Quelles étaient les conditions de vie sur le champ de bataille ? Pourquoi la bataille de Verdun symbolise-t-elle tant l’horreur des combats de la Première Guerre mondiale ? Pourquoi a-t-elle une place si particulière dans l’Histoire franco-allemande ?

Au fil des semaines, nous vous proposons d’aborder ces diverses thématiques avec des historiens et des spécialistes au travers de photographies, de cartes, de vidéos, d’archives filmées, ainsi que de nombreux textes explicatifs.

Ouvert à tous les publics, ce MOOC s’adresse en particulier aux scolaires de 3ème et de 1ère qui étudient la Bataille de Verdun mais également aux enseignants, parents d’élève et autres passionnés par cette période de l’Histoire.",OUI,NDP,NON,NON,"Ouvert à tous les publics, ce MOOC s’adresse en particulier aux scolaires de 3ème et de 1ère qui étudient la Bataille de Verdun mais également aux enseignants, parents d’élève et autres passionnés par cette période de l’Histoire.",OUI,OUI,OUI,"Prérequis
Aucun prérequis n'est nécessaire pour suivre ce cours.

",NON,NON,OUI,GP,NON,NON,NON,1,5,5,0,1,1,0,0,3,2,OUI,"Évaluation
Des évaluations hebdomadaires ainsi qu’un examen final seront proposés.

Une attestation de suivi avec succès sera délivrée si les deux conditions suivantes sont réunies : 
-le total des bonnes réponses aux examens hebdomadaires est supérieur ou égal à 40% 
-le taux de réussite à l’examen final est supérieur ou égal à 60%.",OUI,NON,NON,CC-BY-NC-SA
04/03/2016,FUN,https://www.fun-mooc.fr/courses/MinesTelecom/04009/session01/about,04009,1,MinesTelecom,Introduction aux communications par satellites,OUI,2,OUI,6,NON,NON,NA,OUI,NDP,NON,OUI,"A qui s'adresse ce cours ?
A tous ceux qui veulent en savoir plus sur les communications par satellites ! Un niveau baccalauréat pourra être utile pour certains chapitres plus techniques et nous ajouterons des liens vers des ressources complémentaires en ligne pour ceux qui auraient un peu oublié ...",NON,NON,OUI,"A qui s'adresse ce cours ?
A tous ceux qui veulent en savoir plus sur les communications par satellites ! Un niveau baccalauréat pourra être utile pour certains chapitres plus techniques et nous ajouterons des liens vers des ressources complémentaires en ligne pour ceux qui auraient un peu oublié ...",NON,NON,OUI,LYC,OUI,NON,NON,1,5,5,2,2,1,0,0,0,2,OUI,"Ce MOOC ne délivre pas de certification mais une attestation de suivi pour ceux qui auront suivi le cours jusqu'au bout avec succès. Chaque semaine, un test vous sera proposé pour évaluer vos savoirs acquis.",OUI,NON,NON,CC-BY-NC-SA
03/03/2016,FUN,https://www.fun-mooc.fr/courses/parisdiderot/56001S02/session02/about,56001S02,2,parisdiderot,Gravité! Du Big Bang aux Trous Noirs,OUI,3,OUI,6,NON,NON,NA,OUI,NDP,NON,OUI,"Prérequis
« Gravité! Du Big Bang aux Trous Noirs » s’adresse au grand public et donc ne requiert aucun prérequis. Il vise à apporter une meilleure compréhension des concepts, des questions et des méthodes utilisées pour y répondre.",NON,NON,OUI,"Prérequis
« Gravité! Du Big Bang aux Trous Noirs » s’adresse au grand public et donc ne requiert aucun prérequis. Il vise à apporter une meilleure compréhension des concepts, des questions et des méthodes utilisées pour y répondre.",NON,NON,OUI,GP,NON,NON,NON,1,2,2,0,2,0,0,0,0,2,OUI,"Evaluation
Chaque semaine, un QCM vous permettra de tester votre compréhension du cours.

Un forum de discussion et des sessions interactives seront organisés avec les enseignants et des animateurs dédiés.

Quelques hangout seront organisés au long du cours.

Une épreuve terminale de type QCM, permettra l’obtention de l’attestation de suivi avec succès.",OUI,NON,NON,LICENCE RESTRICTIVE
03/03/2016,FUN,https://www.fun-mooc.fr/courses/UBO/63001/session01/about,63001,1,UBO,FlotRisCo : les sociétés littorales face aux risques côtiers,OUI,"2,5",OUI,6,OUI,NON,NA,OUI,NDP,NON,OUI,"Pré-requis
Le Mooc FlotRisCo a été conçu de telle sorte que toute personne ayant de l'intérêt pour les risques côtiers puisse y accéder facilement, sans aucun pré-requis. Les concepts de base seront systématiquement rappelés avant d'aller plus loin dans l'étude des différentes thématiques. Un glossaire, rassemblant les définitions de termes spécifiques, sera également mis à votre disposition. Des supports d'aide à la prise en main de certains outils cartographiques vous seront proposés en temps voulu pour mener à bien vos réalisations.",NON,NON,OUI,"Pré-requis
Le Mooc FlotRisCo a été conçu de telle sorte que toute personne ayant de l'intérêt pour les risques côtiers puisse y accéder facilement, sans aucun pré-requis. Les concepts de base seront systématiquement rappelés avant d'aller plus loin dans l'étude des différentes thématiques. Un glossaire, rassemblant les définitions de termes spécifiques, sera également mis à votre disposition. Des supports d'aide à la prise en main de certains outils cartographiques vous seront proposés en temps voulu pour mener à bien vos réalisations.",NON,NON,OUI,GP,NON,NON,NON,1,6,6,4,1,1,0,0,0,2,OUI,"Evaluation
Ce MOOC ne délivre pas de certificat mais une attestation de suivi avec succès. L’évaluation des compétences acquises durant le MOOC aura lieu au cours de la dernière semaine et se présentera sous la forme d’un QCM.",OUI,NON,NON,CC-BY-NC-ND
03/03/2016,FUN,https://www.fun-mooc.fr/courses/ubordeaux/28003/session01/about,28003,1,ubordeaux - COMUE d'Aquitaine,"Physique des objets du quotidien
",OUI,3,OUI,5,OUI,NON,"À propos du cours
Nous sommes entourés au quotidien d’objets dont la physique est très riche. Une fois cette physique dévoilée, il devient possible d’effectuer des expériences spectaculaires : mesurer la vitesse de la lumière avec un four à micro-ondes, transformer son Smartphone en microscope pour observer des cellules, maîtriser la polarisation de la lumière avec des lunettes 3D ou encore faire des bulles de savon géantes...

Dans ce cours, grâce à de nombreuses expériences que vous pourrez reproduire chez vous, vous comprendrez les phénomènes que vous observez tous les jours au travers de 5 objets classiques. Du four à micro-ondes au liquide vaisselle, des écrans et afficheurs aux CD/DVD et Blu-ray et jusqu’à votre Smartphone, vous découvrirez les concepts physiques qui y sont associés.

Vous apprendrez aussi comment utiliser votre Smartphone pour faire des expériences de physique.

Des immersions en laboratoire vous permettront de voir comment les chercheurs utilisent ces mêmes concepts physiques pour répondre à des questions fondamentales : comment étudier les cyclones dans les bulles de savon, comment voir l’invisible avec le Térahertz, comment se repérer dans les étoiles … ?

Grâce à des forums et à l’usage des réseaux sociaux, vous pourrez interagir avec les enseignants et les apprenants. Ce MOOC vise également à créer une communauté autour de l’utilisation du Smartphone en science.",NON,NDP,NON,OUI,"Prérequis
Il est conseillé d’avoir un bagage scientifique de niveau lycée (Terminale) pour suivre ce MOOC.",NON,NON,NON,"Prérequis
Il est conseillé d’avoir un bagage scientifique de niveau lycée (Terminale) pour suivre ce MOOC.",NON,OUI,NON,LYC,OUI,NON,NON,1,9,9,6,2,0,1,0,0,2,OUI,"Évaluation
Des QCMs d’auto-évaluation très brefs après chaque vidéo vous permettront d’évaluer votre compréhension du cours au fur et à mesure de son déroulé. A la fin de chaque semaine un QCM d’auto-évaluation d’une dizaine de questions vous sera proposé. L’attestation de suivi dépendra de vos résultats à ces évaluations.

Des expériences seront à faire chez vous. Elles vous permettront de tester en pratique les concepts du cours. Vous pourrez poster la photo de votre expérience sur Twitter avec un hashtag dédié à chaque semaine. Un classement sera établi par les enseignants qui désigneront les trois premiers gagnants qui obtiendront ainsi un bonus de points pour leur évaluation. Les photos des expériences des trois gagnants seront publiées dans la page Infos du cours de la semaine suivante.

Une attestation de suivi avec succès vous sera remise à la fin du cours suivant votre résultat global.",OUI,NON,NON,CC-BY-NC-ND
