Provider;Country;Duration;Workload;Examination;Certificate;Languaage;Date;Subject;Tags;Subtitles;Course.name;NA
FutureLearn;United Kingdom;6 Weeks;4 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Aug 17th 2015;A background in biology may be helpful. ;Health & SocietyMedicine & Pharmacology;CancerMedicineHealthBiologyGenomics;Cancer in the 21st Century - the Genomic Revolution (FutureLearn);University of Glasgow
Canvas Network;USA;5 Weeks;1 hour/week;No Exam or Final Project;No, Open Badges;English;Aug 17th 2015;HumanitiesSocial Sciences;RacismRaceBlack Identity;eSankofa: Conversations About the Black Experience (Canvas net);eSankofa: Conversations About the Black Experience (Canvas net);Michigan State University
Coursera;Singapore;8 Weeks;4-5 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 14th 2015;Pre-requisites for this course are minimal. Knowledge of High School or O-level science is advantageous.;Biology & Life SciencesChemistry;Forensic ScienceForensicsChemistryBiologyCriminal CasesDNAScience;Introduction to Forensic Science (Coursera);Nanyang Technological University
edX;Australia;12 Weeks;2 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Self Paced ;None.;Personal & Professional Development;ThinkingPersonal Development;Think101x: The Science of Everyday Thinking (edX);University of Queensland
edX;USA;5 Weeks;1-2 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 12th 2015;None.;Art, Architecture, and DesignHumanities;SuperheroesComic BooksStan LeeMichael Uslan;The Rise of Superheroes and Their Impact On Pop Culture (edX);Smithsonian
Coursera;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Self Paced;This introductory course is designed for those interested in learning about innovative idea generation and new venture creation, and does not require a background in business or any specific area.  ;Business & Management;EntrepreneurshipCompaniesCreativityInnovationBusiness;Developing Innovative Ideas for New Companies: The 1st Step in Entrepreneurship (Coursera);University of Maryland, College Park
Coursera;Taiwan;6 Weeks;3-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);Chinese;Aug 11th 2015;修習本課程者，經歷背景無拘，凡有志在職場上鍛鍊『更好的自己』之士，歡迎參加。;Economics & Finance;LeadershipProfessionalism;職場素養 (Professionalism) (Coursera);National Taiwan University
Canvas Network;USA;Self Paced;Self study;No Exam or Final Project;No certificate information;English;Aug 10th 2015;There are no essential prerequisite skills required in this course. However, any knowledge about world history (e.g., U.S., Europe, etc.) and basic knowledge of microbiology would be useful.;Business & ManagementSocial Sciences;Ethical CultureManagement;Creating an Ethical Corporate Culture (Canvas.net);Santa Clara University
FutureLearn;United Kingdom;4 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Aug 10th 2015;The course does not assume any prior knowledge of nuclear energy and can be enjoyed by anyone interested in science and becoming more informed of energy choices.;Energy & Earth Sciences;Nuclear EnergyEnergy;The Science of Nuclear Energy (FutureLearn);The Open University
FutureLearn;United Kingdom;4 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Aug 10th 2015;This course is intended for anyone with an interest in making scientific observations through experimentation, and does not require any previous experience of studying the subject.;Biology & Life SciencesChemistryPhysics;BiologyChemistryPhysics;Basic Science: Understanding Experiments (FutureLearn);The Open University
Coursera;USA;4 Weeks;4-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Aug 10th 2015;A basic knowledge of statistics and an ability to employ simple algebra to solve straightforward problems. Familiarity with Microsoft Excel;Business & ManagementEconomics & Finance;Corporate FinanceInvestmentRisk Management;Corporate Financial Decision-Making for Value Creation (Coursera);University of Melbourne
EdCast;Australia;8 Weeks;4-8 hours/week;Yes, Paid Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Aug 10th 2015;This course is open to anyone who is interested in robotics and vision systems.;Computer Science: Artificial Intelligence, Robotics, VisionEngineering;RoboticsEngineeringRobots;Introduction to Robotics (QUT);Queensland University of Technology
Coursera;Brazil;6 Weeks;2-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Verified Certificate (Paid);Portuguese;Aug 10th 2015;Não há a necessidade de conhecimentos prévios em tecnologia, economia ou administração de empresas. ;Business & Management;BusinessEntrepreneurshipEntrepreneur;O Empreendedorismo e as Competências do Empreendedor (Coursera);Universidade Estadual de Campinas (UNICAMP)
Coursera;Singapore;8 Weeks;4-10 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 10th 2015;Mathematics at GCE Advanced Level or International Baccalaureate Diploma or equivalent to junior high school. In addition, high school or undergraduate (freshman) chemistry is very helpful.;Art, Architecture, and DesignBiology & Life SciencesChemistryPhysical & Earth Sciences;SymmetrySymmetrical FormsCrystal Structures;An Exploration of Symmetry (Eligible for NTU Credit) (Coursera);Nanyang Technological University
edX;USA;Self Paced;3-5 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Self Paced ;Understanding of cloud-based service concepts, Office 365, and its component services;;;;
Canvas Network;USA;Self Paced;Self study;No Exam or Final Project;No Certificate;English;Aug 10th 2015;There are no essential prerequisite skills required in this course. However, any knowledge about world history (e.g., U.S., Europe, etc.) and basic knowledge of microbiology would be useful.;Business & Management;BusinessEthicsManagementBusiness Ethics;Business Ethics for the Real World (Canvas.net);Santa Clara University
Coursera;Switzerland;5 Weeks;2-3 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 9th 2015;Graduate students of international relations/business management/international law, aspiring to join an international or not-for-profit organization and/or professionals with a minimun of 3 years of relevant work experience. ;Business & Management;BusinessManagementOrganizationsInternational Organizations;International Organizations Management (Coursera);University of Geneva
Other Providers;USA;4 Weeks;2-3 hours/week;No Exam or Final Project;No, Open Badges;English;Aug 9th 2015;Anyone who wants to use the Moodle learning platform for teaching, whether it be in a school, a university, a company or just personal interest!;Education;MoodleLearning PlatformE-learningEducationTeachingCorporate TrainingCMSLMS;Teaching with Moodle: An Introduction (Moodle);Moodle
edX;USA;5 Weeks;2-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Aug 5th 2015;None.;Humanities;HistoryArtworkArtifactsScientific Specimens;USW30x: Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You (edX);HarvardX
edX;USA;6 Weeks;8-10 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Aug 5th 2015;Some knowledge of economics would be helpful, but is not required. Graded assignments require the use of spreadsheets.;Economics & Finance;EconomicsMacroeconomicsAccounting;FPP.1x: Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis (edX);International Monetary Fund (IMF)
edX;USA;Self Paced;Self study;No Exam and/or Final Project information;No certificate information;English;Self Paced;Education;AP coursesAP CalculusAP BiologyAP ChemistryAP Computer ScienceAP Environmental ScienceAP Physics;English;Teaching with Davidson Next (edX);Davidson Next
edX;India;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Self Paced;Basic knowledge of high-school physics and chemistry is assumed;;;;
edX;USA;6 Weeks;2-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 4th 2015;Experience with Windows Server and Windows desktop support, maintenance, and troubleshooting.;Computer Science: Programming & Software Engineering;SharepointMicrosoftEnterprise Content Management;SharePoint Basics for IT Professionals (edX);Microsoft
edX;USA;5 Weeks;3-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 4th 2015;See Course Description;Computer Science: Programming & Software Engineering;Microsoft AzureCloud Computing;Architecting Microsoft Azure Solutions (edX);Microsoft
edX;USA;8 Weeks;3-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 4th 2015;7.00x Introduction to Biology or similar (biochemistry, molecular biology, and genetics).;Biology & Life Sciences;BiologyDNAMolecular BiologyGenetics;Molecular Biology - Part 1: DNA Replication and Repair (edX);MIT
Coursera;United Kingdom;5 Weeks;1-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 3rd 2015;No background required.;Music, Film & Audio;MusicMusic TheoryRhythmHarmony;Fundamentals of Music Theory (Coursera);University of Edinburgh
iversity;Germany;6 Weeks;2-3 hours/week;Yes, Paid Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Aug 3rd 2015;No prior knowledge is required.;Business & ManagementPersonal & Professional Development;Employability SkillsJobInterpersonal SkillsCareer Development;Employability Skills (iversity);Hochschule für Technik und Wirtschaft
Coursera;United Kingdom;6 Weeks;5-10 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Aug 3rd 2015;Most students are expected to have some background in programming and/or computer science, and some experience of (possibly extra curricular) creative work. The course is also suitable for students new to programming but with a strong arts background.;Computer Science: Programming & Software EngineeringInformation, Technology, and Design;ProgrammingProcessingJavaMultimediaMobileCreative Computing;Creative Programming for Digital Media & Mobile Apps (Coursera);University of London
FutureLearn;United Kingdom;4 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Aug 3rd 2015;This course is intended for anyone with an interest in music. You do not need to be able to read musical notation or play an instrument.;Music, Film & Audio;MusicMusical Notation; From Notation to Performance: Understanding Musical Scores (FutureLearn);The Open University
Canvas Network;Australia;6 Weeks;No information;No Exam and/or Final Project information;No certificate information;English;Aug 3rd 2015;Personal & Professional Development;Career AdviceCareer PlanningCareer DevelopmentPersonality Development;Navigating Your Professional Future (Canvas net);Navigating Your Professional Future (Canvas net);University of Canberra
Coursera;USA;7 Weeks;4-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 3rd 2015;This program is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. No prior knowledge of teaching is required.;EducationTeacher Professional Development;EducationTeachingLearningCurriculum;Foundations of Teaching for Learning 4: Curriculum (Coursera);Commonwealth Education Trust
Coursera;Australia;8 Weeks;5-10 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Aug 3rd 2015;Good programming skills, knowledge of fundamental algorithms, and a general comfort with mathematics.;Computer Science: Artificial Intelligence, Robotics, Vision;ModelingDiscrete OptimizationMiniZinc;Modeling Discrete Optimization (Coursera);University of Melbourne
FutureLearn;United Kingdom;4 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Aug 3rd 2015;The course is intended for anyone with a general interest in childhood studies, early childhood, education studies and child psychology and does not require any prior experience of studying this subject.;EducationSocial Sciences;ChildhoodDigital AgeChildrenTechnology;Childhood in the Digital Age (FutureLearn);The Open University
edX;USA;4 Weeks;3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 3rd 2015;HumanitiesLanguages & Literature;DraculaBram StokerReadingEnglish Writing;English;"""Dracula"" by Stoker: BerkeleyX Book Club (edX)";University of California, Berkeley
edX;USA;5 Weeks;3-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Aug 3rd 2015;See Course Description;Computer Science: Programming & Software Engineering;Big DataHadoopAzure HDInsightMicrosoft AzureHivePigSqoopOozieMahoutR LanguageStormHBase;Processing Big Data with Hadoop in Azure HDInsight (edX);Microsoft
Coursera;USA;6 Weeks;5-7 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Oct 26th 2015;Some knowledge of discrete probability will be helpful.;Computer Science: Systems, Security, NetworkingComputer Science: Theory;CryptographySecurityEncryption;Cryptography I (Coursera);Stanford University
Other Providers;Portugal;2 Weeks;Self study;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Self Paced ;The course assumes basic knowledge of SAP. For the assignments access to an SAP system is needed. The assignments will run in any SAP system based on Netweaver, for example an ECC sandbox.;Computer Science: Programming & Software Engineering;SAPDebugSoftwareABAP;Debugging on SAP (Cognitiva);Cognitiva/OnSAP
edX;USA;5 Weeks;8-10 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jul 30th 2015;Topics covered in MATH226.1x and MATH226.2x. In particular, initial-value problems, general solutions, computer simulation of solutions to first-order systems, geometric objects such as the vector field and the phase portrait of a first-order system.;Mathematics;MathematicsDifferential EquationsNonlinear Differential Equations;Nonlinear Differential Equations: Order and Chaos (edX);Boston University
Coursera;USA;5 Weeks;8-12 hours/week;No Exam or Final Project;Yes, Verified Certificate (Paid);English;Jul 29th 2015;Ideally, students who take this course will be familiar with general object-oriented design and programming concepts, fundamental Java object-oriented programming language features and networking terminology;Computer Science: Programming & Software EngineeringComputer Science: Systems, Security, NetworkingInformation, Technology, and Design;ProgrammingCloudAndroidSecurityCloud Services;Programming Cloud Services for Android Handheld Systems: Security (Coursera);Vanderbilt University
edX;USA;5 Weeks;6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;Spanish;Jul 28th 2015;Business & Management;Project ManagementPMI;Spanish;Gestión de Proyectos de Desarrollo (edX);Inter-American Development Bank (IDB)
edX;Australia;5 Weeks;2-3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 28th 2015;Languages & Literature;LanguagesEndangered Languages;English;Language Revival: Securing the Future of Endangered Languages (edX);University of Adelaide
edX;China;6 Weeks;3-5 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jul 28th 2015;Basics of Java programming OR COMP102x OR COMP102.1x + COMP102.2x;Computer Science: Programming & Software Engineering;Android AppsAndroidMobile ApplicationsMobile Development;Introduction to Mobile Application Development using Android (edX);The Hong Kong University of Science and Technology
FutureLearn;United Kingdom;4 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jul 27th 2015;This course is intended for those with an interest in renewable energies, climate change and sustainable energy technology, and does not require any previous experience of studying the subject.;Energy & Earth Sciences;Renewable EnergySustainabilityNatural ResourcesEarthWind EnergyWater;Elements of Renewable Energies (FutureLearn);The Open University
FutureLearn;Colombia;6 Weeks;6 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);Spanish;Jul 27th 2015;You will need a basic ability to read and understand Gabriel García Márquez works in English.;Languages & Literature;Gabriel García MárquezLiteratureColombia;Reading Macondo: the Works of Gabriel García Márquez (FutureLearn);University of Los Andes
edX;USA;5 Weeks;2-4 hours/week;No Exam and/or Final Project information;No certificate information;English;Jul 27th 2015;Personal & Professional Development;InnovationInnovative ThinkingCreativity;English;Innovation Generation: How to Be Creative (edX);UTHealthSPH
edX;Australia;8 Weeks;4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 26th 2015;Students should be proficient enough in English to follow an introductory-level writing course.;Languages & Literature;EnglishWriting StrategiesWritingEnglish GrammarLanguage;Write101x: English Grammar and Style (edX);University of Queensland
edX;India;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 23rd 2015 - Self Paced;High school mathematics. Calculus. Concepts from EE210.1x: Analysis of continuous and discrete signals and systems in the natural/time domain, convolution, Continuous time Fourier analysis - the continuous Fourier Series and Fourier transform.;Engineering;SignalsEngineeringSystemsSignal Processing;Signals and Systems, Part 2 (edX);IIT Bombay
Coursera;USA;6 Weeks;4-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 22nd 2015;This course is appropriate for anyone interested in incorporating tinkering activities into their educational programs. No prior knowledge is required. ;EducationInformation, Technology, and DesignTeacher Professional Development;TinkeringEducationSTEM LearningLearningTeacher Education;Tinkering Fundamentals: A Constructionist Approach to STEM Learning (Coursera);Exploratorium
edX;USA;Self Paced;2 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Self Paced;Basic understanding of macroeconomic terms and concepts.;Economics & Finance;Macroeconomics;AP® Macroeconomics: Challenging Concepts (edX);Davidson Next
Coursera;China;8 Weeks;4-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Chinese;Jul 21st 2015;本课程不要求也不假设选课学生有任何信息科学技术相关专业的知识背景，也不要求有任何的程序设计知识背景。      对于具有一定专业知识背景或具有一定程序设计基础的同学，可以选择跳过相应章节，选择有兴趣的章节学习。;Computer Science: Theory;Computer ScienceAlgorithmsProgramming;计算导论 (Coursera);Peking University
edX;USA;Self Paced;2 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Self Paced;Prerequisite knowledge in Physics 1 and/or Physics 2 to work through these units. ;Physics;PhysicsThermodynamicsElectromagneticsElectrostaticsMomentumFluidsAtomic;AP® Physics: Challenging Concepts from Physics 1 & Physics 2 (edX);Davidson Next
Coursera;China;8 Weeks;4-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Chinese;Jul 21st 2015;本课程是 北京大学 计算导论 课程的后继课程。因此，对于没有C程序设计基础的同学，在学习本课程之前，请首先学习 计算导论 课程。;Computer Science: Theory;Computer ScienceProgrammingC Language;C程序设计 (Cousera);Peking University
Coursera;China;8 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Chinese;Jul 21st 2015;熟悉C/C++描述的基础数据结构与算法;Computer Science: Theory;Computer ScienceData StructuresAlgorithms;高级数据结构与算法 (Coursera);Peking University
Coursera;China;8 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);Chinese;Jul 21st 2015;基本的C/C++编程能力 ;Computer Science: Theory;Computer ScienceData StructuresAlgorithms;数据结构基础 (Coursera);Peking University
edX;India;6 Weeks;4-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 21st 2015;Basic familiarity with IT use and terminology. Also, basic understanding of business and economics concepts.;Business & Management;InnovationInformation TechnologyNetworksCybersecurityEthics;Innovation and IT Management (edX);Indian Institute of Management
edX;Spain;8 Weeks;4-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Spanish;Jul 21st 2015;None.;Art, Architecture, and DesignMarketing & CommunicationSocial Sciences;DOCUMENTARY! New Trends, New Formats.| DOCUMENTAL! Nuevas tendencias, nuevos formatos (edX);Universidad Carlos III de Madrid (UC3M)
edX;USA;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Self Paced;Foundational/prerequisite knowledge in Calculus AB and/or BC before attempting these units.;Mathematics;AP Calculus;AP® Calculus: Challenging Concepts from Calculus AB & Calculus BC (edX);Davidson Next
edX;Spain;8 Weeks;4-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;Spanish;Jul 21st 2015;EducationHumanities;EducationKnowledgeEducational Technology;Spanish;Utopedia: Educación para una Sociedad del Conocimiento (edX);Universidad Carlos III de Madrid (UC3M)
Coursera;China;8 Weeks;4-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Verified Certificate (Paid);Chinese;Jul 21st 2015;先修课程：计算导论 & C语言程序设计;Computer Science: Theory;ProgrammingC++Object-Oriented Programming;C++程序设计 (Coursera);Peking University
FutureLearn;United Kingdom;3 Weeks;3 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jul 20th 2015;This course is designed for anyone applying for jobs or courses. It will be of particular interest to those in the early stages of their career, or those who are out of practice and need to update their skills. No prior knowledge or expertise are needed.;Personal & Professional Development;JobInterviewJob Interview;How to Succeed at: Interviews (FutureLearn);The University of Sheffield
Coursera;USA;4 Weeks;3-5 hours/week;No Exam and/or Final Project information;No certificate information;English;Jul 20th 2015;No specific background is required. An interest in food security issues, sustainability, global agriculture, and international development is helpful.;Biology & Life SciencesBusiness & ManagementEnergy & Earth SciencesEngineeringFood and NutritionHealth & SocietySocial Sciences;Food SecuritySustainabilityPostharvest LossPHLPostharvestGlobal Agriculture;Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors (Coursera);University of Illinois at Urbana-Champaign
FutureLearn;United Kingdom;6 Weeks;2 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jul 20th 2015;There are no requirements for this course, other than an interest in swallowing difficulties and medicines. The course will be of particular interest to carers, nurses and those in the field of medicine.;Health & SocietyMedicine & Pharmacology;MedicineSwallowing DifficultiesHealthDysphagia;Dysphagia: Swallowing Difficulties and Medicines (FutureLearn);University of East Anglia
Canvas Network;USA;6 Weeks;1-2 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment (Free);English;Jul 20th 2015;None.;Food and NutritionHealth & Society;FoodWellnessCulinaryDietaryTraditional Foods;Celebrating Food and Wellness Around the Globe (Canvas net);Shoreline Community College
FutureLearn;United Kingdom;6 Weeks;4 hours/week;Yes, Paid Exam and/or Final Project;Yes, Verified Certificate (Paid);English;Jul 20th 2015;Health & SocietySocial Sciences;ChildrenVulnerable ChildrenVulnerability;Caring for Vulnerable Children (FutureLearn);Caring for Vulnerable Children (FutureLearn);University of Strathclyde
Canvas Network;USA;7 Weeks;No information;No Exam and/or Final Project information;No Certificate;English;Jul 20th 2015;None.;EducationLanguages & LiteraturePersonal & Professional Development;StuntWriting;Stunt Writing for Personal Growth (Canvas.net);MemoirClass
Coursera;USA;5 Weeks;1-3 hours/week;No Exam and/or Final Project information;No Certificate;English;Jul 20th 2015;No background is required;;;;
Coursera;Korea;5 Weeks;3-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment (Free);English;Jul 20th 2015;Elementary knowledge about vibration, dynamics and calculus is required.;EngineeringMusic, Film & AudioPhysics;AcousticsMusicVibrationAcoustics Waves;Introduction to Acoustics (Part 1) (Coursera);Korea Advanced Institute of Science and Technology (KAIST)
Coursera;Australia;9 Weeks;4-5 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jul 20th 2015;No particular background is required. All are welcome.;Business & ManagementEngineeringInformation, Technology, and Design;EngineeringSystems EngineeringComplex Systems;Introduction to Systems Engineering (Coursera);UNSW Australia (The University of New South Wales)
edX;India;Self Paced;4-6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 16th 2015 - Self Paced;High school Mathematics and Basic Calculus. Corequisites: Basic circuit analysis - ohm's law, KVL, KCL;Engineering;SignalsEngineeringSignal ProcessingSystemsFourier TransformElectrical Engineering;EE210.1x: Signals and Systems, Part 1 (edX);IIT Bombay
iversity;Germany;14 Weeks;4-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;German;Jul 15th 2015;Die Teilnahme ist ohne spezielle Vorkenntnisse möglich. Mathematik auf mind. Oberstufenniveau ist für Modul 5 erforderlich, sonst ist die Vorlesung nicht quantitativ.;Economics & Finance;EconomicsBusinessBusiness Administration; Einführung in die Betriebswirtschaftslehre (iversity);RWTH Aachen
iversity;Germany;14 Weeks;4-6 hours/week;No Exam and/or Final Project information;Yes, Statement of Accomplishment or Verified Certificate;German;Jul 15th 2015;Die Teilnahme ist ohne spezielle Vorkenntnisse möglich.;Economics & Finance;AccountingManagement AccountingEconomics;Einführung in das Rechnungswesen (iversity);RWTH Aachen
edX;USA;8 Weeks;8-12 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 15th 2015;Students should have already completed an introductory high school chemistry course which covered basic topics in chemistry such as atomic theory and structure, the periodic table, and stoichiometry.;Chemistry;AP Chemistry;Preparing for the AP Chemistry Exam - Part 2 (edX);Cooper Union
edX;France;Self Paced;Self study;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;French;Jul 15th 2015 - Self Paced;Ce cours sera enseigné en français.;HumanitiesLawSocial Sciences;Science PolitiquePolitical Science;Découvrir la science politique (edX);Université Catholique de Louvain (UCL)
edX;USA;7 Weeks;4-5 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 15th 2015;There are no prerequisites for 11.133x, but interested participants may look at the archived version of 11.132x: Design and Development of Educational Technology.;Education;Educational TechnologyEducational Resources;Implementation and Evaluation of Educational Technology (edX);MIT
edX;Spain;9 Weeks;3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 14th 2015;Art, Architecture, and Design;PaintingGoyaLeonardo da VinciCaravaggioVelázquezRembrandtVermeer;English;European Paintings: From Leonardo to Rembrandt to Goya (edX);Universidad Carlos III de Madrid (UC3M)
edX;Spain;9 Weeks;3 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;Spanish;Jul 14th 2015;Art, Architecture, and Design;PaintingGoyaLeonardo da VinciCaravaggioVelázquezRembrandtVermeer;Spanish;Pintura europea: Leonardo, Rembrandt, Goya (edX);Universidad Carlos III de Madrid (UC3M)
edX;Japan;4 Weeks;2-4 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 14th 2015;Basic knowledge of high school physics and chemistry is preferred.;Energy & Earth SciencesPhysical & Earth Sciences;ChemistryRadiationIndustryMedicineRadioactivity;Effects of Radiation: An Introduction to Radiation and Radioactivity (edX);Open Education Consortium (OEC)
edX;Netherlands;7 Weeks;6-8 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 14th 2015;This course revises high school level mathematics and is aimed to close the readiness gap between high school and university.;Mathematics;MathMathematicsCalculusPre-Calculus;Pre-University Calculus (edX);TU Delft
edX;Netherlands;6 Weeks;3-5 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;English;Jul 14th 2015;Basic understanding of organic chemistry, calculus, and molecular biology.;Biology & Life Sciences;BiomedicineMedicineBiopharmaceuticalTherapeutics;Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing (edX);MIT
edX;USA;6 Weeks;6 hours/week;Yes, Free Exam and/or Final Project;Yes, Statement of Accomplishment or Verified Certificate;Spanish;Jul 14th 2015;Art, Architecture, and DesignSocial Sciences;UrbanismUrban PlanningUrban;Spanish;Desarrollo Urbano y Vivienda | Urbanization in Latin America (edX);Inter-American Development Bank (IDB)
Coursera;USA;Self Paced;Self study;No Exam and/or Final Project information;No Certificate;English;Self Paced;No background is required. Just have a curiosity about modern technology, the internet, and the law.;Art, Architecture, and DesignBusiness & ManagementEconomics & FinanceInformation, Technology, and DesignLawMusic, Film & Audio;Internet GiantsMediaMedia PlatformsMicrosoftGoogle;Internet Giants: The Law and Economics of Media Platforms (Coursera);The University of Chicago
Canvas Network;United Kingdom;6 Weeks;2 hours/week;No Exam or Final Project;Yes, Statement of Accomplishment (Free);English;Jul 13th 2015;This course is suitable for anybody who is interested in dementia and its effects on society, culture, and economics, including health and social care professionals, policy makers, and families of people with dementia.;Biology & Life SciencesHealth & SocietyMedicine & Pharmacology;DementiaCareMedical AssistingHealthHealthcare;Bridging the Dementia Divide: Supporting People Living with Dementia (Canvas net);University of Derby
edX;USA;8 Weeks;6-10 hours/week;No Exam and/or Final Project information;Yes, Verified Certificate (Paid);English;Jul 13th 2015;High school level algebra and physics are recommended, but not required. Some exposure to computer programming would be useful for those who want to improve upon the robot design. ;Computer Science: Artificial Intelligence, Robotics, VisionComputer Science: Programming & Software EngineeringEngineering;Electronic InterfacesElectronic EngineeringEngineeringElectronics;Electronic Interfaces: Bridging the Physical and Digital Worlds (edX);University of California, Berkeley
